Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed,PlantA_E_solar,PlantB_E_solar,PlantA_E_biogas,PlantB_E_biogas
2023-02-13,5.819,5.8375,20.54,31.45,3.45,8.884216440000001,44.4210822,6.9225023608951695,29.187425927815706
2023-02-14,5.527,5.5313,21.14,31.73,1.63,8.41850532,42.0925266,7.314553767242868,31.67822415017788
2023-02-15,5.0431,5.1082,20.95,35.19,1.3,7.68719733,38.435986650000004,7.134216564177463,30.824658288477508
2023-02-16,4.6942,4.8017,21.47,50.02,1.68,7.140723156,35.70361578,7.241281846128618,31.713808013209558
2023-02-17,4.6548,4.771,23.03,54.15,1.49,7.037219735999999,35.18609868,7.118802467941648,30.682381539048382
2023-02-18,3.7721,4.3315,23.49,54.28,1.57,5.692325226,28.461626130000003,7.368504565327313,32.68100954953886
2023-02-19,3.4291,3.8177,23.95,57.86,1.64,5.16525333,25.826266649999997,6.965052606210815,30.742483396119795
2023-02-20,3.533,3.5966,24.93,59.06,2.05,5.3009838600000005,26.5049193,8.092787026601378,28.163176575963316
2023-02-21,2.562,3.4939,25.68,63.84,3.22,3.83254704,19.162735199999997,8.683682702712249,32.68980620111076
2023-02-22,4.4952,4.6841,26.71,61.62,3.85,6.696679248,33.48339624,8.573053243577451,34.97778855494176
2023-02-23,5.0683,5.335,26.77,59.09,2.27,7.548624653999999,37.743123270000005,8.706577923297091,29.479683429217886
2023-02-24,4.6942,5.011,26.9,58.99,1.94,6.987786120000001,34.938930600000006,7.979698245647638,32.47208199838136
2023-02-25,4.7191,5.292,26.9,49.37,1.55,7.02485226,35.1242613,8.219518861658125,34.15038007051018
2023-02-26,5.4715,5.5644,26.21,42.05,2.0,8.167526910000001,40.83763455,8.472575307446041,33.3786763982459
2023-02-27,5.2978,5.4456,25.89,39.43,2.05,7.918409748,39.59204873999999,9.094264680746722,33.83665109262623
2023-02-28,5.4233,5.5498,26.43,33.45,2.08,8.088418086,40.44209043000001,8.045314491269808,36.35566581336357
2023-03-01,5.4202,5.5253,26.41,34.54,1.75,8.084445108,40.42222554000001,8.98607786247737,37.28385289805664
2023-03-02,5.3429,5.4782,26.73,37.99,2.18,7.958890698,39.79445349,9.676710560299313,36.16709638398335
2023-03-03,5.687,5.6983,27.85,30.87,2.24,8.4332523,42.166261500000005,9.157010291384985,38.401816666776
2023-03-04,5.5716,5.5769,28.38,31.43,1.46,8.244407952,41.22203976,9.617072206450805,34.00893501913287
2023-03-05,5.537,5.5447,28.81,29.9,2.16,8.17892418,40.89462089999999,9.445016088837313,35.41723402079185
2023-03-06,5.7355,5.8171,28.46,28.46,2.68,8.48418102,42.4209051,9.893106594789607,35.77220369266702
2023-03-07,5.9705,6.0526,28.21,28.46,2.45,8.84075817,44.203790850000004,9.966864703705461,39.16999184397463
2023-03-08,4.8893,5.7607,28.57,30.44,2.21,7.229221194000001,36.14610597,10.024155385445306,36.25080846036521
2023-03-09,5.2092,5.4425,27.88,35.11,2.56,7.7237850240000006,38.61892512,10.240167460312579,37.13648889018105
2023-03-10,3.1097,5.395,26.47,37.22,2.42,4.637122446,23.18561223,9.137096537290331,35.646188046817116
2023-03-11,3.5822,5.1012,28.46,35.93,1.88,5.298933528,26.494667639999996,9.384763329835813,40.06426826026147
