Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed
2023-04-20,6.018,6.2412,33.28,58.47,3.85
2023-04-21,4.2374,5.4794,33.03,54.76,1.98
2023-04-22,5.9429,6.4529,32.28,40.95,1.6
2023-04-23,2.3326,6.1289,29.6,50.68,3.24
2023-04-24,4.9238,6.8242,29.74,58.4,1.76
2023-04-25,6.4054,6.8177,29.24,60.3,2.09
2023-04-26,6.2364,6.7538,30.89,52.68,1.16
2023-04-27,5.2574,6.4615,31.67,53.85,1.56
2023-04-28,5.783,6.4814,29.45,66.45,2.3
2023-04-29,5.3458,6.402,30.12,65.67,2.57
2023-04-30,5.5632,6.468,30.09,66.04,1.12
2023-05-01,4.6519,6.3046,28.21,71.35,1.75
2023-05-02,6.6134,6.9682,29.72,60.45,1.36
2023-05-03,4.7402,6.8578,29.0,69.93,2.57
2023-05-04,4.8451,6.696,28.92,69.31,2.82
2023-05-05,5.4718,6.0886,29.06,71.87,2.33
2023-05-06,4.9001,5.9155,30.23,68.58,2.04
2023-05-07,6.6007,6.6847,31.41,60.08,2.55
2023-05-08,7.2084,7.2312,32.21,57.64,2.87
2023-05-09,5.8099,6.6425,32.75,55.14,3.1
2023-05-10,6.0521,6.444,32.95,59.51,3.31
2023-05-11,6.3799,6.497,32.55,60.37,2.39
2023-05-12,4.2058,6.1733,31.09,65.18,1.71
2023-05-13,4.7218,6.2426,31.09,65.1,2.99
2023-05-14,5.3263,6.781,30.42,58.9,5.23
2023-05-15,6.8945,7.153,31.06,53.09,3.27
2023-05-16,5.5464,6.287,31.67,65.68,4.29
2023-05-17,5.7593,6.5786,30.41,75.45,4.12
2023-05-18,5.1302,6.4584,28.58,84.72,3.49
2023-05-19,5.179,6.5381,29.26,83.28,3.76
2023-05-20,6.7574,6.8638,30.5,73.55,3.78
2023-05-21,5.5531,6.3511,29.83,77.68,4.0
2023-05-22,5.9174,6.0768,29.64,79.19,3.94
2023-05-23,4.9303,6.0792,29.24,83.6,2.34
2023-05-24,5.1862,6.5592,28.1,84.28,2.66
2023-05-25,5.7876,6.5232,28.18,85.3,2.45
2023-05-26,6.2974,6.5028,28.95,83.25,2.48
2023-05-27,3.7462,6.5628,28.98,78.7,2.14
2023-05-28,6.8474,7.0646,29.01,74.07,0.95
2023-05-29,7.3106,7.3913,30.06,70.86,1.3
2023-05-30,6.726,7.1938,30.66,73.1,1.52
2023-05-31,6.5534,6.9245,31.06,74.58,2.01
2023-06-01,5.6515,6.0794,30.62,76.51,2.57
2023-06-02,6.6732,6.7138,31.07,74.8,3.17
2023-06-03,6.2393,6.4586,30.85,75.5,3.0
2023-06-04,6.4234,6.8719,30.84,75.16,2.71
2023-06-05,6.9881,7.0423,30.39,76.46,2.03
2023-06-06,6.4889,6.5515,30.61,76.24,2.29
2023-06-07,5.3609,6.4666,31.1,74.52,2.36
2023-06-08,2.2786,6.4766,31.66,71.43,2.11
2023-06-09,2.9568,6.6192,30.11,76.44,2.78
2023-06-10,4.0202,6.3406,30.37,75.72,1.98
2023-06-11,4.6265,5.8301,30.39,78.42,2.99
2023-06-12,3.2957,5.149,29.78,82.38,3.2
2023-06-13,4.4774,5.8716,30.06,83.55,3.6
2023-06-14,6.2321,6.6751,30.19,83.94,5.17
2023-06-15,4.9798,6.3329,31.07,80.04,5.9
2023-06-16,5.4881,6.6907,30.37,83.69,5.23
2023-06-17,5.3093,6.5443,30.44,83.21,4.96
2023-06-18,3.7258,6.0204,29.44,84.39,4.49
2023-06-19,3.7526,6.4111,28.8,89.05,3.88
2023-06-20,3.5309,6.7046,29.06,87.46,3.75
2023-06-21,3.882,6.5062,28.96,89.69,3.11
2023-06-22,2.9942,6.4666,28.58,88.17,3.03
2023-06-23,5.2798,7.3092,29.02,84.62,3.12
2023-06-24,5.7662,7.435,29.47,84.49,3.24
2023-06-25,5.9717,7.4786,29.19,84.26,4.99
2023-06-26,4.1198,7.3418,27.9,89.42,5.83
2023-06-27,2.5442,7.254,27.52,93.49,4.07
2023-06-28,1.1486,7.1038,27.92,92.25,4.43
2023-06-29,2.0066,7.2871,27.95,92.75,3.43
2023-06-30,3.631,7.1081,28.64,90.95,3.63
2023-07-01,3.4675,6.9413,29.37,87.3,2.55
2023-07-02,4.4568,6.8273,28.73,91.96,2.9
2023-07-03,4.488,6.9194,29.33,88.93,2.34
2023-07-04,6.4759,7.1467,29.75,85.68,2.29
2023-07-05,5.7938,7.375,29.23,88.03,3.42
2023-07-06,4.5521,7.4765,29.06,88.28,4.21
2023-07-07,5.1744,7.3183,28.78,91.09,4.05
2023-07-08,5.4401,7.3567,29.21,89.37,3.42
2023-07-09,5.406,7.1974,29.26,87.42,2.65
2023-07-10,4.8902,7.0601,29.59,87.24,2.79
2023-07-11,4.9946,7.0642,29.17,85.7,4.04
2023-07-12,5.2848,7.158,28.26,87.99,3.37
2023-07-13,5.2466,7.0022,28.41,91.41,2.68
2023-07-14,5.2349,7.0589,28.5,89.51,2.43
2023-07-15,4.5283,7.3418,29.08,85.41,2.38
2023-07-16,4.7995,7.2341,28.91,87.99,3.77
2023-07-17,5.0623,7.175,28.81,88.93,4.48
2023-07-18,6.5791,7.351,28.82,88.05,4.83
2023-07-19,5.784,7.2761,29.25,86.78,4.71
2023-07-20,6.3086,7.2026,28.98,88.8,4.25
2023-07-21,5.5164,7.3262,28.84,89.91,3.72
2023-07-22,5.7955,7.3716,28.96,88.66,4.29
2023-07-23,5.9042,7.2761,28.92,88.37,2.76
2023-07-24,6.3086,7.3262,29.35,84.83,2.98
2023-07-25,5.8313,7.3447,29.22,86.15,3.72
2023-07-26,4.9356,7.2804,28.97,88.25,4.13
2023-07-27,4.8816,7.1832,29.3,86.76,4.12
2023-07-28,5.5469,7.0704,29.34,86.87,3.96
2023-07-29,4.5739,7.087,29.75,86.64,3.53
2023-07-30,5.6095,7.2295,30.08,86.02,2.45
2023-07-31,5.5385,7.1534,31.03,78.62,0.93
2023-08-01,5.6839,7.3241,30.1,86.48,3.46
2023-08-02,4.117,7.033,28.75,89.82,7.37
2023-08-03,3.9,6.5935,28.93,88.13,4.34
2023-08-04,3.2911,6.4363,28.71,87.46,4.06
2023-08-05,3.3415,6.6178,28.42,87.58,4.06
2023-08-06,1.7892,6.7814,28.02,91.17,4.82
2023-08-07,1.5098,7.0488,28.02,91.84,5.35
2023-08-08,2.4134,6.6696,28.09,89.71,4.69
2023-08-09,4.6678,6.1898,27.84,91.33,3.05
2023-08-10,4.1054,5.8812,28.59,86.56,2.39
2023-08-11,3.8323,5.7444,28.66,88.06,2.14
2023-08-12,3.5129,5.6537,27.67,91.92,3.13
2023-08-13,2.1456,6.169,28.11,87.44,2.37
2023-08-14,4.3447,6.7939,28.93,84.15,1.34
2023-08-15,4.4479,5.8829,28.74,88.13,2.25
2023-08-16,3.8446,5.742,28.98,87.44,1.51
2023-08-17,5.6453,6.702,28.37,89.89,1.98
2023-08-18,5.1847,6.954,28.42,89.23,4.54
2023-08-19,5.2039,6.7834,28.7,89.15,3.53
2023-08-20,5.8128,6.6677,28.77,87.56,2.82
